category,a,b,c
Information Request,Other,Other,Other
Cyclepath Query,Street Furniture,Street Furniture,Road Safety & Defects
Broken Grit Bin,Grit Bins,Gritting,Road Safety & Defects
Damage to kerb,Pavement /Footway Defects,Right of Way,Access
Carriageway Defect,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Grass Cutting on a public right of way,Grass/Weed Control,Right of Way,Access
Street Light On During the Day,Street Lights,Street Lights,Road Safety & Defects
Flooded Property,Flooding,Drainage,Environmental Health
Invasive weeds,Grass/Weed Control,,
Rubbish or fly tipping on the roads,Fly-tipping,Rubbish,Environmental Health
Sign/Pole Damaged,Street Signs,Road Safety,Road Safety & Defects
Fallen Tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Sweeping & Cleansing Hazard,Obstruction,Right of Way,Access
Pothole / Surface Defect,Potholes,Road Surface Defects,Road Safety & Defects
Seats and benches,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Dead Animals,Dead Animals,Environmental Health,Environmental Health
Bridge,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Rights of Way,Right of Way,Right of Way,Access
Countryside Paths / Public Rights of Way (usually not tarmac),Pavement /Footway Defects,Right of Way,Access
Verges,Verge Damage,Road Safety,Road Safety & Defects
Single pothole (more than 30cm wide and,Potholes,Road Surface Defects,Road Safety & Defects
Zebra crossing/ belisha faulty,Road Markings,Road Safety,Road Safety & Defects
Overhanging vegetation,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Environmental health,Environmental Health,Environmental Health,Environmental Health
Damaged/Exposed Wiring / Vandalised,Other,Other,Other
Noise or Vibration,Road/Pavement Defects,Road Surface Defects,Road Safety & Defects
Spillage On Project Network,Spillage on Road,Rubbish,Environmental Health
Lamp: Outage (Single Unit),Street Lights,Street Lights,Road Safety & Defects
Tree/branch - fallen,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Permanent,Street Signs,Road Safety,Road Safety & Defects
Blocked drain surface,Blocked Drains,Drainage,Environmental Health
Damaged/Loose,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Roads/highways,Highway Condition,Highways Enquiries,Road Safety & Defects
Light On During The Day,Street Lights,Street Lights,Road Safety & Defects
"Street Light - Equipment damaged, pole leaning",Street Lights,Street Lights,Road Safety & Defects
Dog Bin,Dog Litter Bin,Bin Replacement,Environmental Health
Broken Flags/Kerbs,Broken Kerbs,Other,Environmental Disruptions
"Bridge, Subway or Culvert on a public ri",Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Low branches,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Missing,Manhole Covers,Drainage,Environmental Health
Objects in the road,Obstruction,Right of Way,Access
Shopping Trolley,Shopping Trolley,Incivilities,Incivilities
Roads and pavement surfaces - Overhanging vegetation,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Noise nuisance,Noise,Incivilities,Incivilities
Pothole / Failed Reinstatement,Potholes,Road Surface Defects,Road Safety & Defects
Grass cutting query,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Blocked  Drains,Blocked Drains,Drainage,Environmental Health
Signal Failure all out,Street Signs,Road Safety,Road Safety & Defects
Bridges,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Refuse - Missed Collection,Missed Bin Collection,Rubbish,Environmental Health
Obstruction or hazard on road,Obstruction,Right of Way,Access
Road markings faded/missing,Road Markings,Road Safety,Road Safety & Defects
Street cleaning,Street Cleaning,Rubbish,Environmental Health
Skip on road/verge,Skips,Road Safety,Road Safety & Defects
Wheel tracks or ruts,Open Spaces/Parks,Open Spaces/Parks,Public Space
Street cleansing,Street Cleaning,Street Furniture,Environmental Health
Lamp Dim,Street Lights,Street Lights,Road Safety & Defects
Missing Number,Other,Other,Other
Lines and Markings (Council Car Park),Road Markings,Road Safety,Road Safety & Defects
Street Lights,Street Lights,Street Lights,Road Safety & Defects
Tree Branches Overhanging,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Smell,Vehicle Access,Right of Way,Access
Highway Drainage or Flooding,Highway Drainage,Drainage,Environmental Health
Trees & Hedges,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Traffic lights,Traffic Lights,Road Safety,Road Safety & Defects
Utility Works and Manhole Covers (Streetworks),Utility Works,Utility Works,Environmental Disruptions
Litter Bin Overflowing,Litter/Litter Bin,Rubbish,Environmental Health
Public toilet,Public Toilets,Public Toilets,Access
Tree or Shrub on a public right of way,Trees on RoW,Right of Way,Access
Utility Works and Manhole Covers (Street,Utility Works,Utility Works,Environmental Disruptions
Signal head turned around,Road Markings,Road Safety,Road Safety & Defects
Bench/cycle rack/litter bin/planter,Benches/Bicycle Racks,Street Furniture,Environmental Disruptions
Graffiti on bridges/subways,Graffiti,Incivilities,Incivilities
Car parking issues,Parking,Parking,Abandoned Vehicles & Parking
Light in multi-storey car park,Street Lights,Street Lights,Road Safety & Defects
Workmanship,Other,Other,Other
Damaged / Missing / Facing Wrong Way,Street Signs,Road Safety,Road Safety & Defects
Traffic light,Traffic Lights,Road Safety,Road Safety & Defects
Street Nameplate,Street Name Plates,Street Furniture,Environmental Disruptions
Obscured by vegetation or Dirty,Obstruction,Right of Way,Access
Problem with moths,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Litter Bin,Litter/Litter Bin,Rubbish,Environmental Health
Accidents,Other,Other,Other
Problem at other roadworks,Road Works,Grounds Maintenance,Road Safety & Defects
Bus Shelters,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Development Proposal/ advice,Other,Other,Other
Bad Parking,Parking,Parking,Abandoned Vehicles & Parking
